C=0.01, sigma=0.01, accuracy=0.49763033175355453
C=0.01, sigma=0.03, accuracy=0.5023696682464456
C=0.01, sigma=0.1, accuracy=0.5023696682464456
C=0.01, sigma=0.3, accuracy=0.5023696682464456
C=0.01, sigma=1, accuracy=0.49763033175355453
C=0.01, sigma=3, accuracy=0.5023696682464456
C=0.01, sigma=10, accuracy=0.49763033175355453
C=0.01, sigma=30, accuracy=0.49763033175355453
C=0.03, sigma=0.01, accuracy=0.49763033175355453
C=0.03, sigma=0.03, accuracy=0.49763033175355453
C=0.03, sigma=0.1, accuracy=0.5023696682464456
C=0.03, sigma=0.3, accuracy=0.8625592417061612
C=0.03, sigma=1, accuracy=0.8246445497630331
C=0.03, sigma=3, accuracy=0.5023696682464456
C=0.03, sigma=10, accuracy=0.49763033175355453
C=0.03, sigma=30, accuracy=0.8151658767772512
C=0.1, sigma=0.01, accuracy=0.5023696682464456
C=0.1, sigma=0.03, accuracy=0.5023696682464456
C=0.1, sigma=0.1, accuracy=0.9478672985781991
C=0.1, sigma=0.3, accuracy=0.8720379146919431
C=0.1, sigma=1, accuracy=0.8293838862559242
C=0.1, sigma=3, accuracy=0.5023696682464456
C=0.1, sigma=10, accuracy=0.49763033175355453
C=0.1, sigma=30, accuracy=0.8199052132701422
C=0.3, sigma=0.01, accuracy=0.5023696682464456
C=0.3, sigma=0.03, accuracy=0.985781990521327
C=0.3, sigma=0.1, accuracy=0.9478672985781991
C=0.3, sigma=0.3, accuracy=0.8957345971563981
C=0.3, sigma=1, accuracy=0.8720379146919431
C=0.3, sigma=3, accuracy=0.7203791469194313
C=0.3, sigma=10, accuracy=0.49763033175355453
C=0.3, sigma=30, accuracy=0.5023696682464456
C=1, sigma=0.01, accuracy=1.0
C=1, sigma=0.03, accuracy=0.995260663507109
C=1, sigma=0.1, accuracy=0.9478672985781991
C=1, sigma=0.3, accuracy=0.933649289099526
C=1, sigma=1, accuracy=0.8957345971563981
C=1, sigma=3, accuracy=0.8625592417061612
C=1, sigma=10, accuracy=0.8293838862559242
C=1, sigma=30, accuracy=0.8293838862559242
C=3, sigma=0.01, accuracy=1.0
C=3, sigma=0.03, accuracy=1.0
C=3, sigma=0.1, accuracy=0.943127962085308
C=3, sigma=0.3, accuracy=0.943127962085308
C=3, sigma=1, accuracy=0.919431279620853
C=3, sigma=3, accuracy=0.8767772511848342
C=3, sigma=10, accuracy=0.5781990521327014
C=3, sigma=30, accuracy=0.5023696682464456
C=10, sigma=0.01, accuracy=1.0
C=10, sigma=0.03, accuracy=1.0
C=10, sigma=0.1, accuracy=0.9620853080568721
C=10, sigma=0.3, accuracy=0.933649289099526
C=10, sigma=1, accuracy=0.9241706161137441
C=10, sigma=3, accuracy=0.919431279620853
C=10, sigma=10, accuracy=0.8483412322274881
C=10, sigma=30, accuracy=0.8151658767772512
C=30, sigma=0.01, accuracy=1.0
C=30, sigma=0.03, accuracy=1.0
C=30, sigma=0.1, accuracy=0.9478672985781991
C=30, sigma=0.3, accuracy=0.943127962085308
C=30, sigma=1, accuracy=0.9289099526066351
C=30, sigma=3, accuracy=0.9241706161137441
C=30, sigma=10, accuracy=0.8720379146919431
C=30, sigma=30, accuracy=0.7488151658767772
